#KernelIndex    samplingFreq    ObjectRadius    StellarDiameter    ImpactParameter   ShiftAdjustment
0 40 750.000000 0.010000 0.000000 -0.250000
1 40 750.000000 0.010000 0.000000 0.000000
2 40 750.000000 0.010000 0.000000 0.250000
3 40 750.000000 0.010000 0.000000 5.000000
4 40 750.000000 0.030000 0.000000 -0.250000
5 40 750.000000 0.030000 0.000000 0.000000
6 40 750.000000 0.030000 0.000000 0.250000
7 40 750.000000 0.030000 0.000000 5.000000
8 40 750.000000 0.080000 0.000000 -0.250000
9 40 750.000000 0.080000 0.000000 0.000000
10 40 750.000000 0.080000 0.000000 0.250000
11 40 750.000000 0.080000 0.000000 5.000000
12 40 1375.000000 0.010000 0.000000 -0.250000
13 40 1375.000000 0.010000 0.000000 0.000000
14 40 1375.000000 0.010000 0.000000 0.250000
15 40 1375.000000 0.010000 0.000000 5.000000
16 40 1375.000000 0.030000 0.000000 -0.250000
17 40 1375.000000 0.030000 0.000000 0.000000
18 40 1375.000000 0.030000 0.000000 0.250000
19 40 1375.000000 0.030000 0.000000 5.000000
20 40 1375.000000 0.080000 0.000000 -0.250000
21 40 1375.000000 0.080000 0.000000 0.000000
22 40 1375.000000 0.080000 0.000000 0.250000
23 40 1375.000000 0.080000 0.000000 5.000000
24 40 2500.000000 0.010000 0.000000 -0.250000
25 40 2500.000000 0.010000 0.000000 0.000000
26 40 2500.000000 0.010000 0.000000 0.250000
27 40 2500.000000 0.010000 0.000000 5.000000
28 40 2500.000000 0.030000 0.000000 -0.250000
29 40 2500.000000 0.030000 0.000000 0.000000
30 40 2500.000000 0.030000 0.000000 0.250000
31 40 2500.000000 0.030000 0.000000 5.000000
32 40 2500.000000 0.080000 0.000000 -0.250000
33 40 2500.000000 0.080000 0.000000 0.000000
34 40 2500.000000 0.080000 0.000000 0.250000
35 40 2500.000000 0.080000 0.000000 5.000000
36 40 750.000000 0.010000 375.000000 -0.250000
37 40 750.000000 0.010000 375.000000 0.000000
38 40 750.000000 0.010000 375.000000 0.250000
39 40 750.000000 0.010000 375.000000 5.000000
40 40 750.000000 0.030000 375.000000 -0.250000
41 40 750.000000 0.030000 375.000000 0.000000
42 40 750.000000 0.030000 375.000000 0.250000
43 40 750.000000 0.030000 375.000000 5.000000
44 40 750.000000 0.080000 375.000000 -0.250000
45 40 750.000000 0.080000 375.000000 0.000000
46 40 750.000000 0.080000 375.000000 0.250000
47 40 750.000000 0.080000 375.000000 5.000000
48 40 1375.000000 0.010000 687.500000 -0.250000
49 40 1375.000000 0.010000 687.500000 0.000000
50 40 1375.000000 0.010000 687.500000 0.250000
51 40 1375.000000 0.010000 687.500000 5.000000
52 40 1375.000000 0.030000 687.500000 -0.250000
53 40 1375.000000 0.030000 687.500000 0.000000
54 40 1375.000000 0.030000 687.500000 0.250000
55 40 1375.000000 0.030000 687.500000 5.000000
56 40 1375.000000 0.080000 687.500000 -0.250000
57 40 1375.000000 0.080000 687.500000 0.000000
58 40 1375.000000 0.080000 687.500000 0.250000
59 40 1375.000000 0.080000 687.500000 5.000000
60 40 2500.000000 0.010000 1250.000000 -0.250000
61 40 2500.000000 0.010000 1250.000000 0.000000
62 40 2500.000000 0.010000 1250.000000 0.250000
63 40 2500.000000 0.010000 1250.000000 5.000000
64 40 2500.000000 0.030000 1250.000000 -0.250000
65 40 2500.000000 0.030000 1250.000000 0.000000
66 40 2500.000000 0.030000 1250.000000 0.250000
67 40 2500.000000 0.030000 1250.000000 5.000000
68 40 2500.000000 0.080000 1250.000000 -0.250000
69 40 2500.000000 0.080000 1250.000000 0.000000
70 40 2500.000000 0.080000 1250.000000 0.250000
71 40 2500.000000 0.080000 1250.000000 5.000000
72 40 750.000000 0.010000 750.000000 -0.250000
73 40 750.000000 0.010000 750.000000 0.000000
74 40 750.000000 0.010000 750.000000 0.250000
75 40 750.000000 0.010000 750.000000 5.000000
76 40 750.000000 0.030000 750.000000 -0.250000
77 40 750.000000 0.030000 750.000000 0.000000
78 40 750.000000 0.030000 750.000000 0.250000
79 40 750.000000 0.030000 750.000000 5.000000
80 40 750.000000 0.080000 750.000000 -0.250000
81 40 750.000000 0.080000 750.000000 0.000000
82 40 750.000000 0.080000 750.000000 0.250000
83 40 750.000000 0.080000 750.000000 5.000000
84 40 1375.000000 0.010000 1375.000000 -0.250000
85 40 1375.000000 0.010000 1375.000000 0.000000
86 40 1375.000000 0.010000 1375.000000 0.250000
87 40 1375.000000 0.010000 1375.000000 5.000000
88 40 1375.000000 0.030000 1375.000000 -0.250000
89 40 1375.000000 0.030000 1375.000000 0.000000
90 40 1375.000000 0.030000 1375.000000 0.250000
91 40 1375.000000 0.030000 1375.000000 5.000000
92 40 1375.000000 0.080000 1375.000000 -0.250000
93 40 1375.000000 0.080000 1375.000000 0.000000
94 40 1375.000000 0.080000 1375.000000 0.250000
95 40 1375.000000 0.080000 1375.000000 5.000000
96 40 2500.000000 0.010000 2500.000000 -0.250000
97 40 2500.000000 0.010000 2500.000000 0.000000
98 40 2500.000000 0.010000 2500.000000 0.250000
99 40 2500.000000 0.010000 2500.000000 5.000000
100 40 2500.000000 0.030000 2500.000000 -0.250000
101 40 2500.000000 0.030000 2500.000000 0.000000
102 40 2500.000000 0.030000 2500.000000 0.250000
103 40 2500.000000 0.030000 2500.000000 5.000000
104 40 2500.000000 0.080000 2500.000000 -0.250000
105 40 2500.000000 0.080000 2500.000000 0.000000
106 40 2500.000000 0.080000 2500.000000 0.250000
107 40 2500.000000 0.080000 2500.000000 5.000000
